word,count
AND,317
TO,289
YOU,259
THE,231
I,216
THANK,180
MY,150
FOR,123
OF,118
SO,100
THIS,100
IN,90
THAT,86
A,82
ME,82
IT,64
WHO,57
WITH,52
ALL,48
MUCH,46
IS,45
ARE,40
I'M,39
WANT,39
HAVE,37
JUST,36
BE,36
WAS,32
YOUR,30
PEOPLE,28
ACADEMY,28
KNOW,28
LOVE,26
HERE,26
NOT,25
OUR,24
AS,22
UP,22
WONDERFUL,21
FAMILY,20
DO,20
WE,20
BUT,19
AN,19
WORK,19
BEEN,19
BECAUSE,18
SUCH,17
REALLY,17
VERY,17
FROM,17
ON,17
ABOUT,17
WHAT,17
FIRST,17
YEARS,17
THERE,16
EVERY,16
LIKE,16
BY,16
LIFE,15
FILM,15
WORLD,15
TONIGHT,15
IT'S,14
HAD,14
AT,14
HIS,14
